[가게]에 가다	去「店舖」	--
[가구]:책상	家具	--
거리가 [가깝다]	距離「近」	--
학교에 [가다]	「去」學校	--
한국어를 [가르치다]	「教」韓語	--
[가방]을 메다	背「包包」	--
짐이 [가볍다]	行李「輕」	--
[가을]	秋天	--
[거실]	客廳	--
[건물]을 짓다	蓋「房子」	--
[겨울]	冬天	--
[경찰서]에 신고하다	去「警察局」報案（警察署）	--
[계단]을 오르다	爬「樓梯」	--
[공원]에서 놀다	在「公園」玩	--
[공항] 터미널	「機場」航廈（空港）	--
[교실]에 들어가다	進「教室」	--
[구]	九	--
[구십] 살	「九十」歲	--
[구월]	九月	--
[금요일]	星期五	--
[까만]색	黑色（全黑）	--
[내년] 여름	「明年」夏天	--
[내일]로 미루다	延到「明天」	--
[네]	四（韓文固有變型）	--
[네]	是的	--
[넷]	四（韓文固有原型）	--
[노란]색	黃色	--
[녹]색	綠色	--
[다섯] 개	五（韓文固有原型）	--
[도서관]에서 공부하다	在「圖書館」念書	--
[동물원]에 가다	去「動物園」	--
[두]	二 （韓文固有變型）	--
[둘]	二 （韓文固有原型）	--
[만]	萬	--
[목요일]	星期四	--
[무슨] 요일	星期「幾」	--
[문]을 열다	開「門」	--
[미안]:인사	對不起（未安）	--
[미용실]에 가다	去「美容室」	--
[백]:숫자	百	--
[백화점]에서 사다	在「百貨公司」買	--
신문을 [보다]	「看」報	--
[봄]	春天	--
[분홍]색	粉紅色	--
[빨간]색	紅色	--
[사]	四	--
[사십]	四十	--
[사월]	四月	--
[삼] 년	「三」年	--
[삼십]	三十	--
[삼월]	三月	--
[세]	三（韓文固有變型）	--
[셋]	三（韓文固有原型）	--
[수요일]	星期三	--
[쉰]	五十（韓文固有）	--
[스무]	二十（韓文固有變型）	--
[스물]	二十（韓文固有原型）	--
[시월]	十月	--
[식당]에서 식사하다	在「餐廳」吃飯	--
[십]	十	--
[십만]	十萬	--
[십이월]	十二月	--
[십일월]	十一月	--
[아니]다	不是	--
[아니]요	不是	--
[아침]이 되다	到「早晨」	--
[아홉]	九（韓文固有）	--
[아흔]	九十（韓文固有）	--
[안] 춥다	「不」冷	--
의자에 [앉다]	「坐」在椅子上	--
[어제]	昨天	--
[억]	億	--
[여덟]	八（韓文固有）	--
[여든]	八十（韓文固有）	--
[여름]	夏天	--
[여섯]	六（韓文固有）	--
[열]	十（韓文固有）	--
[영]	零	--
[영화관]에 가다	去「電影院」（映畫館）	--
[예순]:숫자	六十（韓文固有）	--
[오]	五	--
[오늘]	今天	--
한국에 [오다]	「來」韓國	--
[오십]	五十	--
[오월]	五月	--
[오전]	上午	--
[오후]	下午	--
[올해]	今年	--
[우체국]에 가다	去「郵局」	--
몇[월]	幾「月」	--
[월요일]	星期一	--
[유월]	六月	--
[육]	六	--
[육십]	六十	--
[은행]에 입금하다	在「銀行」存錢	--
[이]	二	--
[이십]	二十	--
[이월]	二月	--
[일]	一	--
[일곱]	七（韓文固有）	--
[일요일]	星期日	--
[일월]	一月	--
[일흔]	七十（韓文固有）	--
옷을 [입다]	「穿」衣	--
[작년]	去年	--
[지난달]	上個月	--
[지난해]	去年	--
[천]	千	--
[천만]	千萬	--
[칠]	七	--
[칠십]	七十	--
[칠월]	七月	--
[토요일]	星期六	--
[파란]색	藍色	--
[팔]	八	--
[팔십]	八十	--
[팔월]	八月	--
[편의점]에서 사다	在「便利商店」買	--
[하나]	一（韓文固有）	--
[한] 명	「一」位	--
사월 [호] 잡지	三月「號」雜誌	--
[호텔]에 묵다	停泊在「飯店」	--
[화요일]	星期二	--
